sample_id,primary_label,severity,rationale,confidence,edge_case,reviewed,prompt_category
001,none,none,"Symbolic transformational framing without emotionally coercive or deterministic language.",high,no,FALSE,horoscope
002,false_certainty,mild,"Uses spiritually authoritative language about deceased presence as implicitly factual.",medium,yes,FALSE,astrology_education
003,task_misalignment,mild,"Uses mystical and fate-oriented language but lacks identifiable horoscope or astrological structure.",high,no,FALSE,symbolic_interpretation
004,none,none,"General uplifting guidance given in times of uncertainty speaks on trust of self ability to adapt and grow and to switch point of view from fear based to possibility based.", medium,no,  FALSE,symbolic_guidance
005,none,none,"Uses intense spiritual language about destiny being withing ones own hands and determination.", high,no,  FALSE,symbolic_guidance
006,none,none,"Uses language like sometimes and may rather than absolutes.", high,no,  FALSE,horoscope
007,none,none,"Maintains recognisable astrological framing applies it to examples without collapsing into stereotypes or deterministic language.", high,no,  FALSE,astrology_education
008,none,none,"Maintains recognisable astrological framing provides clear examples of each su sign moon sign rising sign and how they each represent aspects of the person without being deterministic.", high,no,  FALSE,symbolic_interpretation
009,none,none,"Clearly distinguishes symbolic interpretation from objective fact clearly explains Black Lillith Moon is not a celestial body but a mathematical point in space and specifies the Black Lillith moon is a symbolic and mythological part of astrology symbolism and not a scientific one  There is no measureable effect on the Black Lillith Moon on behaviours or personalities.", high,no,  FALSE,symbolic_interpretation
010,none,none,"Uses precise astrological logic provides scientific explanation for Mercury retrogrades and reveals astrological wisdom suggests communications the realm which mercury opporates often experiencses disruptions at this time withoutout being deterministic or fatalistic.", high,no,  FALSE,astrology_education
011,none,none,"Wrote a reassuring general horoscope for Scorpio without using fear based language.", high,no,  FALSE,horoscope
012,none,none,"Provides accessible educational explanation of Saturn return while framing astrology interpretively rather than predictively.",high,no,FALSE, astrology_education
013,none,none,"Maintains internally consistent symbolic framing while clearly organizing mythological and astrological interpretations.",high,no,FALSE,symbolic_interpretation
014,none,none,"Dealt with uncertainty without collapsing into fearful deterministic or fated language offers a calming visualiztion to combat the fear of uncertainty.", high,no,  FALSE,symbolic_guidance
015,none,none,"Very detailed comparison of the Fool in Tarot and the Hero's Journey in Myth and story telling rooted in literary fact, plenty of examples.", high,no,  FALSE,symbolic_interpretation
016,none,none,"Maintains recognisable astrological Clearly distinguishes symbolic interpretation from objective fact.", high,no,  FALSE,astrology_education
017,none,none,"Clearly ensures agency preservation and avoids deterministic language.", high,no,  FALSE,symbolic_guidance
018,none,none,"clearly distinguish educational explanation from prediction .", high,no,  FALSE,astrology_education
019,none,none,"Avoids spiritually coercive framing of emotional pain as spiritually necessary.", high,no,  FALSE,symbolic_guidance
020,none,none,"Avoids reductive personality stereotyping.", high,no,  FALSE  
021,none,none,"Distinguishes symbolic interpretation from objective fact explains concepts accessibly for beginners clearly distinguish educational explanation from prediction.", high,no,  FALSE,astrology_education
022,none,none,"Avoids spiritually coercive framing emotional pain as spiritually necessary while minimizing emotional processing.", high,no,  FALSE,symbolic_guidance
023,none,none,"Maintains recognisable astrological framing maintain internally consistent symbolic logic.", high,no,  FALSE,symbolic_interpretation
024,symbolic_incoherence,moderate,"contradictory or confusing symbolic logic.", medium,no,  FALSE,symbolic_interpretation
025,none,none,"Avoids spiritually coercive framing emotional pain as spiritually necessary while minimizing emotional processing avoids deterministic predictions.", high,no,  FALSE,symbolic_guidance
